// Export from Boxsim V2.00 - ©UweG 1999-2018
// Project: 
	frequency response box		energy frequency response box	frequency response for active filter 1		frequency response for active filter 2	
							
f	magnitude	phase	magnitude	magnitude	phase	magnitude	phase
[Hz]	[dB]	[deg]	[dB]	[dB]	[deg]	[dB]	[deg]
20	54,601	-97,79	54,655	1,8293	-2	-84,11	179,4
21,006	56,187	-99,7	56,234	1,8292	-2,101	-83,26	179,37
22,063	57,773	-101,9	57,813	1,829	-2,206	-82,4	179,34
23,173	59,358	-104,3	59,391	1,8289	-2,317	-81,55	179,31
24,339	60,939	-107	60,966	1,8287	-2,434	-80,7	179,27
25,563	62,514	-110	62,534	1,8285	-2,557	-79,84	179,24
26,849	64,08	-113,4	64,094	1,8283	-2,685	-78,99	179,2
28,2	65,634	-117	65,64	1,828	-2,82	-78,14	179,16
29,618	67,171	-121	67,171	1,8277	-2,962	-77,29	179,11
31,108	68,687	-125,3	68,681	1,8274	-3,111	-76,43	179,07
32,673	70,178	-130	70,165	1,8271	-3,268	-75,58	179,02
34,317	71,639	-135	71,619	1,8267	-3,432	-74,73	178,97
36,043	73,063	-140,4	73,036	1,8263	-3,605	-73,88	178,92
37,856	74,446	-146,1	74,412	1,8259	-3,786	-73,02	178,87
39,761	75,781	-152,2	75,739	1,8254	-3,977	-72,17	178,81
41,761	77,061	-158,6	77,013	1,8248	-4,177	-71,32	178,75
43,862	78,281	-165,3	78,225	1,8242	-4,387	-70,46	178,69
46,068	79,435	-172,2	79,37	1,8235	-4,608	-69,61	178,62
48,386	80,517	-179,4	80,443	1,8228	-4,84	-68,76	178,55
50,82	81,522	173,18	81,439	1,822	-5,084	-67,91	178,48
53,377	82,448	165,65	82,353	1,8211	-5,34	-67,05	178,4
56,062	83,29	158,04	83,184	1,8201	-5,608	-66,2	178,32
58,882	84,048	150,39	83,93	1,819	-5,891	-65,35	178,24
61,844	84,723	142,78	84,592	1,8178	-6,187	-64,5	178,15
64,955	85,316	135,26	85,171	1,8164	-6,499	-63,64	178,06
68,223	85,832	127,88	85,671	1,815	-6,826	-62,79	177,96
71,655	86,274	120,69	86,097	1,8133	-7,17	-61,94	177,86
75,26	86,651	113,74	86,455	1,8115	-7,531	-61,08	177,75
79,046	86,945	107	86,729	1,8095	-7,911	-60,23	177,64
83,022	87,166	100,46	86,928	1,8073	-8,309	-59,38	177,52
87,199	87,345	94,147	87,073	1,8049	-8,728	-58,52	177,39
91,586	87,476	88,165	87,177	1,8022	-9,168	-57,67	177,26
96,193	87,578	82,318	87,25	1,7993	-9,63	-56,82	177,12
101,03	87,655	76,518	87,295	1,796	-10,12	-55,97	176,98
106,11	87,712	71,086	87,317	1,7924	-10,63	-55,11	176,83
111,45	87,74	65,866	87,311	1,7883	-11,16	-54,26	176,66
117,06	87,734	60,731	87,265	1,7839	-11,73	-53,41	176,5
122,95	87,683	55,491	87,17	1,779	-12,32	-52,55	176,32
129,13	87,563	50,199	87,003	1,7736	-12,94	-51,7	176,13
135,63	87,373	45,375	86,762	1,7675	-13,59	-50,84	175,94
142,45	87,143	40,87	86,468	1,7609	-14,28	-49,99	175,73
149,62	86,911	37,047	86,176	1,7535	-15	-49,14	175,52
157,15	86,688	33,682	85,889	1,7453	-15,76	-48,28	175,29
165,05	86,472	30,684	85,604	1,7362	-16,56	-47,43	175,05
173,35	86,284	27,589	85,342	1,7261	-17,39	-46,57	174,8
182,08	86,105	24,008	85,083	1,7149	-18,28	-45,72	174,54
191,24	85,872	20,671	84,767	1,7024	-19,2	-44,87	174,26
200,86	85,672	18,424	84,477	1,6886	-20,17	-44,01	173,97
210,96	85,606	16,113	84,316	1,6732	-21,2	-43,16	173,66
221,57	85,506	12,348	84,116	1,656	-22,27	-42,3	173,34
232,72	85,426	8,1603	83,924	1,6369	-23,4	-41,44	173
244,43	85,463	3,9834	83,851	1,6156	-24,59	-40,59	172,65
256,72	85,296	2,1783	83,567	1,5919	-25,84	-39,73	172,27
269,64	85,293	2,9327	83,443	1,5654	-27,16	-38,88	171,88
283,2	85,456	1,5868	83,479	1,5358	-28,54	-38,02	171,46
297,45	85,836	-0,485	83,724	1,5026	-29,99	-37,16	171,02
312,41	86,252	-3,287	84,005	1,4656	-31,52	-36,3	170,56
328,13	86,79	-7,289	84,402	1,4241	-33,13	-35,45	170,08
344,64	87,186	-12,49	84,654	1,3775	-34,82	-34,59	169,56
361,97	87,397	-17,23	84,717	1,3253	-36,59	-33,73	169,02
380,18	87,658	-21,76	84,827	1,2668	-38,45	-32,87	168,45
399,31	87,704	-27,41	84,718	1,201	-40,41	-32,01	167,85
419,4	87,709	-50,82	84,567	1,1271	-42,46	-31,15	167,22
440,5	87,665	-54,35	84,364	1,0441	-44,61	-30,28	166,55
462,65	87,53	-43,36	84,067	0,9509	-46,86	-29,42	165,84
485,93	87,466	-45,8	83,839	0,8461	-49,22	-28,56	165,09
510,37	87,382	-50,1	83,59	0,7285	-51,69	-27,69	164,3
536,05	87,5	-54,59	83,543	0,5965	-54,26	-26,82	163,46
563,02	87,461	-60,07	83,338	0,4485	-56,94	-25,96	162,57
591,34	87,499	-66,13	83,21	0,2829	-59,73	-25,09	161,63
621,09	87,509	-70,14	83,053	0,0979	-62,62	-24,22	160,63
652,33	87,44	-70,82	82,816	-0,108	-65,61	-23,35	159,57
685,15	87,448	-76,48	82,661	-0,337	-68,7	-22,48	158,44
719,62	87,438	-85,08	82,487	-0,591	-71,87	-21,6	157,24
755,82	87,365	-91,95	82,272	-0,872	-75,12	-20,73	155,96
793,84	87,209	-100,4	81,975	-1,18	-78,44	-19,85	154,59
833,78	87,099	-105	81,711	-1,517	-81,8	-18,97	153,14
875,72	87,065	-106,8	81,504	-1,885	-85,21	-18,1	151,58
919,78	87,181	-107,9	81,406	-2,283	-88,64	-17,22	149,91
966,05	87,286	-108,9	81,332	-2,713	-92,07	-16,34	148,12
1014,6	87,292	-113,2	81,182	-3,173	-95,5	-15,46	146,2
